Build Select,,Starting Class,,Head,Body,Arms,Legs,,Talismans,,,,,,,Great Rune,,Crystal Tear 1,Crystal Tear 2,,Weapon Class,,,,,,,,,Upgrade Levels,Unarmed,Unarmed,Unarmed,Unarmed,Unarmed,Unarmed,,Unarmed,Unarmed,Unarmed,Unarmed,Unarmed,Unarmed,,weapons,canCast,Catalyst Select,,Spell 1,Spell 2,Spell 3,Spell 4,Spell 5,Spell 6,Spell 7,Spell 8,Spell 9,Spell 10,Spell 11,Spell 12,,Defaults,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Flame of Frenzy,The Flame of Frenzy,The Flame of Frenzy,The Flame of Frenzy,The Flame of Frenzy,The Flame of Frenzy,The Flame of Frenzy,The Flame of Frenzy,The Flame of Frenzy,The Flame of Frenzy,The Flame of Frenzy,The Flame of Frenzy,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Flame of Frenzy,The Flame of Frenzy,The Flame of Frenzy,The Flame of Frenzy,The Flame of Frenzy,The Flame of Frenzy,The Flame of Frenzy,The Flame of Frenzy,The Flame of Frenzy,The Flame of Frenzy,The Flame of Frenzy,The Flame of Frenzy,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Flame of Frenzy,The Flame of Frenzy,The Flame of Frenzy,The Flame of Frenzy,The Flame of Frenzy,The Flame of Frenzy,The Flame of Frenzy,The Flame of Frenzy,The Flame of Frenzy,The Flame of Frenzy,The Flame of Frenzy,The Flame of Frenzy,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unendurable Frenzy,Unendurable Frenzy,Unendurable Frenzy,Unendurable Frenzy,Unendurable Frenzy,Unendurable Frenzy,Unendurable Frenzy,Unendurable Frenzy,Unendurable Frenzy,Unendurable Frenzy,Unendurable Frenzy,Unendurable Frenzy,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unendurable Frenzy,Unendurable Frenzy,Unendurable Frenzy,Unendurable Frenzy,Unendurable Frenzy,Unendurable Frenzy,Unendurable Frenzy,Unendurable Frenzy,Unendurable Frenzy,Unendurable Frenzy,Unendurable Frenzy,Unendurable Frenzy,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unendurable Frenzy,Unendurable Frenzy,Unendurable Frenzy,Unendurable Frenzy,Unendurable Frenzy,Unendurable Frenzy,Unendurable Frenzy,Unendurable Frenzy,Unendurable Frenzy,Unendurable Frenzy,Unendurable Frenzy,Unendurable Frenzy,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Midra's Flame of Frenzy,Midra's Flame of Frenzy,Midra's Flame of Frenzy,Midra's Flame of Frenzy,Midra's Flame of Frenzy,Midra's Flame of Frenzy,Midra's Flame of Frenzy,Midra's Flame of Frenzy,Midra's Flame of Frenzy,Midra's Flame of Frenzy,Midra's Flame of Frenzy,Midra's Flame of Frenzy,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Midra's Flame of Frenzy,Midra's Flame of Frenzy,Midra's Flame of Frenzy,Midra's Flame of Frenzy,Midra's Flame of Frenzy,Midra's Flame of Frenzy,Midra's Flame of Frenzy,Midra's Flame of Frenzy,Midra's Flame of Frenzy,Midra's Flame of Frenzy,Midra's Flame of Frenzy,Midra's Flame of Frenzy,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Midra's Flame of Frenzy,Midra's Flame of Frenzy,Midra's Flame of Frenzy,Midra's Flame of Frenzy,Midra's Flame of Frenzy,Midra's Flame of Frenzy,Midra's Flame of Frenzy,Midra's Flame of Frenzy,Midra's Flame of Frenzy,Midra's Flame of Frenzy,Midra's Flame of Frenzy,Midra's Flame of Frenzy,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Frenzied Burst,Frenzied Burst,Frenzied Burst,Frenzied Burst,Frenzied Burst,Frenzied Burst,Frenzied Burst,Frenzied Burst,Frenzied Burst,Frenzied Burst,Frenzied Burst,Frenzied Burst,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Frenzied Burst,Frenzied Burst,Frenzied Burst,Frenzied Burst,Frenzied Burst,Frenzied Burst,Frenzied Burst,Frenzied Burst,Frenzied Burst,Frenzied Burst,Frenzied Burst,Frenzied Burst,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Frenzied Burst,Frenzied Burst,Frenzied Burst,Frenzied Burst,Frenzied Burst,Frenzied Burst,Frenzied Burst,Frenzied Burst,Frenzied Burst,Frenzied Burst,Frenzied Burst,Frenzied Burst,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Frenzied Burst,Frenzied Burst,Frenzied Burst,Frenzied Burst,Frenzied Burst,Frenzied Burst,Frenzied Burst,Frenzied Burst,Frenzied Burst,Frenzied Burst,Frenzied Burst,Frenzied Burst,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Howl of Shabriri,Howl of Shabriri,Howl of Shabriri,Howl of Shabriri,Howl of Shabriri,Howl of Shabriri,Howl of Shabriri,Howl of Shabriri,Howl of Shabriri,Howl of Shabriri,Howl of Shabriri,Howl of Shabriri,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Howl of Shabriri,Howl of Shabriri,Howl of Shabriri,Howl of Shabriri,Howl of Shabriri,Howl of Shabriri,Howl of Shabriri,Howl of Shabriri,Howl of Shabriri,Howl of Shabriri,Howl of Shabriri,Howl of Shabriri,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Inescapable Frenzy,Inescapable Frenzy,Inescapable Frenzy,Inescapable Frenzy,Inescapable Frenzy,Inescapable Frenzy,Inescapable Frenzy,Inescapable Frenzy,Inescapable Frenzy,Inescapable Frenzy,Inescapable Frenzy,Inescapable Frenzy,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Inescapable Frenzy,Inescapable Frenzy,Inescapable Frenzy,Inescapable Frenzy,Inescapable Frenzy,Inescapable Frenzy,Inescapable Frenzy,Inescapable Frenzy,Inescapable Frenzy,Inescapable Frenzy,Inescapable Frenzy,Inescapable Frenzy,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Inescapable Frenzy,Inescapable Frenzy,Inescapable Frenzy,Inescapable Frenzy,Inescapable Frenzy,Inescapable Frenzy,Inescapable Frenzy,Inescapable Frenzy,Inescapable Frenzy,Inescapable Frenzy,Inescapable Frenzy,Inescapable Frenzy,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Inescapable Frenzy,Inescapable Frenzy,Inescapable Frenzy,Inescapable Frenzy,Inescapable Frenzy,Inescapable Frenzy,Inescapable Frenzy,Inescapable Frenzy,Inescapable Frenzy,Inescapable Frenzy,Inescapable Frenzy,Inescapable Frenzy,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Inescapable Frenzy,Inescapable Frenzy,Inescapable Frenzy,Inescapable Frenzy,Inescapable Frenzy,Inescapable Frenzy,Inescapable Frenzy,Inescapable Frenzy,Inescapable Frenzy,Inescapable Frenzy,Inescapable Frenzy,Inescapable Frenzy,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dragonfire,Dragonfire,Dragonfire,Dragonfire,Dragonfire,Dragonfire,Dragonfire,Dragonfire,Dragonfire,Dragonfire,Dragonfire,Dragonfire,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agheel's Flame,Agheel's Flame,Agheel's Flame,Agheel's Flame,Agheel's Flame,Agheel's Flame,Agheel's Flame,Agheel's Flame,Agheel's Flame,Agheel's Flame,Agheel's Flame,Agheel's Flame,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Magma Breath,Magma Breath,Magma Breath,Magma Breath,Magma Breath,Magma Breath,Magma Breath,Magma Breath,Magma Breath,Magma Breath,Magma Breath,Magma Breath,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Magma Breath,Magma Breath,Magma Breath,Magma Breath,Magma Breath,Magma Breath,Magma Breath,Magma Breath,Magma Breath,Magma Breath,Magma Breath,Magma Breath,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Magma Breath,Magma Breath,Magma Breath,Magma Breath,Magma Breath,Magma Breath,Magma Breath,Magma Breath,Magma Breath,Magma Breath,Magma Breath,Magma Breath,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Theodorix's Magma,Theodorix's Magma,Theodorix's Magma,Theodorix's Magma,Theodorix's Magma,Theodorix's Magma,Theodorix's Magma,Theodorix's Magma,Theodorix's Magma,Theodorix's Magma,Theodorix's Magma,Theodorix's Magma,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Theodorix's Magma,Theodorix's Magma,Theodorix's Magma,Theodorix's Magma,Theodorix's Magma,Theodorix's Magma,Theodorix's Magma,Theodorix's Magma,Theodorix's Magma,Theodorix's Magma,Theodorix's Magma,Theodorix's Magma,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Theodorix's Magma,Theodorix's Magma,Theodorix's Magma,Theodorix's Magma,Theodorix's Magma,Theodorix's Magma,Theodorix's Magma,Theodorix's Magma,Theodorix's Magma,Theodorix's Magma,Theodorix's Magma,Theodorix's Magma,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Glintstone Breath,Glintstone Breath,Glintstone Breath,Glintstone Breath,Glintstone Breath,Glintstone Breath,Glintstone Breath,Glintstone Breath,Glintstone Breath,Glintstone Breath,Glintstone Breath,Glintstone Breath,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Smarag's Glintstone Breath,Smarag's Glintstone Breath,Smarag's Glintstone Breath,Smarag's Glintstone Breath,Smarag's Glintstone Breath,Smarag's Glintstone Breath,Smarag's Glintstone Breath,Smarag's Glintstone Breath,Smarag's Glintstone Breath,Smarag's Glintstone Breath,Smarag's Glintstone Breath,Smarag's Glintstone Breath,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rotten Breath,Rotten Breath,Rotten Breath,Rotten Breath,Rotten Breath,Rotten Breath,Rotten Breath,Rotten Breath,Rotten Breath,Rotten Breath,Rotten Breath,Rotten Breath,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ekzykes's Decay,Ekzykes's Decay,Ekzykes's Decay,Ekzykes's Decay,Ekzykes's Decay,Ekzykes's Decay,Ekzykes's Decay,Ekzykes's Decay,Ekzykes's Decay,Ekzykes's Decay,Ekzykes's Decay,Ekzykes's Decay,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dragonice,Dragonice,Dragonice,Dragonice,Dragonice,Dragonice,Dragonice,Dragonice,Dragonice,Dragonice,Dragonice,Dragonice,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Borealis's Mist,Borealis's Mist,Borealis's Mist,Borealis's Mist,Borealis's Mist,Borealis's Mist,Borealis's Mist,Borealis's Mist,Borealis's Mist,Borealis's Mist,Borealis's Mist,Borealis's Mist,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ghostflame Breath,Ghostflame Breath,Ghostflame Breath,Ghostflame Breath,Ghostflame Breath,Ghostflame Breath,Ghostflame Breath,Ghostflame Breath,Ghostflame Breath,Ghostflame Breath,Ghostflame Breath,Ghostflame Breath,,,,
,,,,,,,,,,,,,,,,,,,,,,,Select a Weapon Class,Select a Weapon Class,Select a Weapon Class,Select a Weapon Class,Select a Weapon Class,Select a Weapon Class,,,,,,,,,,,,,,,,,,,,,Placidusax's Ruin,Placidusax's Ruin,Placidusax's Ruin,Placidusax's Ruin,Placidusax's Ruin,Placidusax's Ruin,Placidusax's Ruin,Placidusax's Ruin,Placidusax's Ruin,Placidusax's Ruin,Placidusax's Ruin,Placidusax's Ruin,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Placidusax's Ruin,Placidusax's Ruin,Placidusax's Ruin,Placidusax's Ruin,Placidusax's Ruin,Placidusax's Ruin,Placidusax's Ruin,Placidusax's Ruin,Placidusax's Ruin,Placidusax's Ruin,Placidusax's Ruin,Placidusax's Ruin,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Placidusax's Ruin,Placidusax's Ruin,Placidusax's Ruin,Placidusax's Ruin,Placidusax's Ruin,Placidusax's Ruin,Placidusax's Ruin,Placidusax's Ruin,Placidusax's Ruin,Placidusax's Ruin,Placidusax's Ruin,Placidusax's Ruin,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dragonclaw,Dragonclaw,Dragonclaw,Dragonclaw,Dragonclaw,Dragonclaw,Dragonclaw,Dragonclaw,Dragonclaw,Dragonclaw,Dragonclaw,Dragonclaw,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dragonclaw,Dragonclaw,Dragonclaw,Dragonclaw,Dragonclaw,Dragonclaw,Dragonclaw,Dragonclaw,Dragonclaw,Dragonclaw,Dragonclaw,Dragonclaw,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dragonclaw,Dragonclaw,Dragonclaw,Dragonclaw,Dragonclaw,Dragonclaw,Dragonclaw,Dragonclaw,Dragonclaw,Dragonclaw,Dragonclaw,Dragonclaw,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dragonclaw,Dragonclaw,Dragonclaw,Dragonclaw,Dragonclaw,Dragonclaw,Dragonclaw,Dragonclaw,Dragonclaw,Dragonclaw,Dragonclaw,Dragonclaw,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dragonclaw,Dragonclaw,Dragonclaw,Dragonclaw,Dragonclaw,Dragonclaw,Dragonclaw,Dragonclaw,Dragonclaw,Dragonclaw,Dragonclaw,Dragonclaw,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dragonclaw,Dragonclaw,Dragonclaw,Dragonclaw,Dragonclaw,Dragonclaw,Dragonclaw,Dragonclaw,Dragonclaw,Dragonclaw,Dragonclaw,Dragonclaw,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dragonmaw,Dragonmaw,Dragonmaw,Dragonmaw,Dragonmaw,Dragonmaw,Dragonmaw,Dragonmaw,Dragonmaw,Dragonmaw,Dragonmaw,Dragonmaw,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Greyoll's Roar,Greyoll's Roar,Greyoll's Roar,Greyoll's Roar,Greyoll's Roar,Greyoll's Roar,Greyoll's Roar,Greyoll's Roar,Greyoll's Roar,Greyoll's Roar,Greyoll's Roar,Greyoll's Roar,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bayle's Tyranny,Bayle's Tyranny,Bayle's Tyranny,Bayle's Tyranny,Bayle's Tyranny,Bayle's Tyranny,Bayle's Tyranny,Bayle's Tyranny,Bayle's Tyranny,Bayle's Tyranny,Bayle's Tyranny,Bayle's Tyranny,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bayle's Tyranny,Bayle's Tyranny,Bayle's Tyranny,Bayle's Tyranny,Bayle's Tyranny,Bayle's Tyranny,Bayle's Tyranny,Bayle's Tyranny,Bayle's Tyranny,Bayle's Tyranny,Bayle's Tyranny,Bayle's Tyranny,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bayle's Flame Lightning,Bayle's Flame Lightning,Bayle's Flame Lightning,Bayle's Flame Lightning,Bayle's Flame Lightning,Bayle's Flame Lightning,Bayle's Flame Lightning,Bayle's Flame Lightning,Bayle's Flame Lightning,Bayle's Flame Lightning,Bayle's Flame Lightning,Bayle's Flame Lightning,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bayle's Flame Lightning,Bayle's Flame Lightning,Bayle's Flame Lightning,Bayle's Flame Lightning,Bayle's Flame Lightning,Bayle's Flame Lightning,Bayle's Flame Lightning,Bayle's Flame Lightning,Bayle's Flame Lightning,Bayle's Flame Lightning,Bayle's Flame Lightning,Bayle's Flame Lightning,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bayle's Flame Lightning,Bayle's Flame Lightning,Bayle's Flame Lightning,Bayle's Flame Lightning,Bayle's Flame Lightning,Bayle's Flame Lightning,Bayle's Flame Lightning,Bayle's Flame Lightning,Bayle's Flame Lightning,Bayle's Flame Lightning,Bayle's Flame Lightning,Bayle's Flame Lightning,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Golden Arcs,Golden Arcs,Golden Arcs,Golden Arcs,Golden Arcs,Golden Arcs,Golden Arcs,Golden Arcs,Golden Arcs,Golden Arcs,Golden Arcs,Golden Arcs,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Golden Arcs,Golden Arcs,Golden Arcs,Golden Arcs,Golden Arcs,Golden Arcs,Golden Arcs,Golden Arcs,Golden Arcs,Golden Arcs,Golden Arcs,Golden Arcs,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Giant Golden Arc,Giant Golden Arc,Giant Golden Arc,Giant Golden Arc,Giant Golden Arc,Giant Golden Arc,Giant Golden Arc,Giant Golden Arc,Giant Golden Arc,Giant Golden Arc,Giant Golden Arc,Giant Golden Arc,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Giant Golden Arc,Giant Golden Arc,Giant Golden Arc,Giant Golden Arc,Giant Golden Arc,Giant Golden Arc,Giant Golden Arc,Giant Golden Arc,Giant Golden Arc,Giant Golden Arc,Giant Golden Arc,Giant Golden Arc,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spira,Spira,Spira,Spira,Spira,Spira,Spira,Spira,Spira,Spira,Spira,Spira,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Watchful Spirit,Watchful Spirit,Watchful Spirit,Watchful Spirit,Watchful Spirit,Watchful Spirit,Watchful Spirit,Watchful Spirit,Watchful Spirit,Watchful Spirit,Watchful Spirit,Watchful Spirit,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Divine Bird Feathers,Divine Bird Feathers,Divine Bird Feathers,Divine Bird Feathers,Divine Bird Feathers,Divine Bird Feathers,Divine Bird Feathers,Divine Bird Feathers,Divine Bird Feathers,Divine Bird Feathers,Divine Bird Feathers,Divine Bird Feathers,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Divine Beast Tornado,Divine Beast Tornado,Divine Beast Tornado,Divine Beast Tornado,Divine Beast Tornado,Divine Beast Tornado,Divine Beast Tornado,Divine Beast Tornado,Divine Beast Tornado,Divine Beast Tornado,Divine Beast Tornado,Divine Beast Tornado,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Divine Beast Tornado,Divine Beast Tornado,Divine Beast Tornado,Divine Beast Tornado,Divine Beast Tornado,Divine Beast Tornado,Divine Beast Tornado,Divine Beast Tornado,Divine Beast Tornado,Divine Beast Tornado,Divine Beast Tornado,Divine Beast Tornado,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Divine Beast Tornado,Divine Beast Tornado,Divine Beast Tornado,Divine Beast Tornado,Divine Beast Tornado,Divine Beast Tornado,Divine Beast Tornado,Divine Beast Tornado,Divine Beast Tornado,Divine Beast Tornado,Divine Beast Tornado,Divine Beast Tornado,,,,
